N 	 URL 	 Code HTTP 	 Encodage 	 Mots
0	https://fr.wikipedia.org/wiki/Robot	200		15907
1	https://fr.wikipedia.org/wiki/Robot_de_cuisine	200		2616
2	fr.wikipedia.org/wiki/Robot_d%27indexation	301		4175
3	https://fr.wikipedia.org/wiki/Bot_informatique	200		4633
4	https://fr.wikipedia.org/wiki/Atlas_(robot)	200		2526
5	https://roboty.magistry.fr	200		9
6	https://fr.wikipedia.org/wiki/Robot_(Leonard_de_Vinci)	404		1017
7	https://fr.wiktionary.org/wiki/robot	200		11412
8	https://fr.wikipedia.org/wiki/Protocole_d%27exclusion_des_robots	200		2706
9	https://fr.wikipedia.org/wiki/Robotique	200		16717
